label,text
4,"Make of good quality material, however it is a bit too big for infant. Recommended! :)"
5,Same as shown in pic...good quality ... Hope it is useful after pregnancy as well...
3,"Normal delivery, yet to try and hopefully is nice. Wanted to use it for baking. "
1,Fast delivery but size seem to be too small n not stretchable even thou is 4XL.
3,box is just plain white no logo like the picture. quality okok. i thought there’s coins zipper but no have
4,Received my items :) have not try yet. Ordered 2. 1 black n white. White condition is good. But the black one front part paddy seems to be crumbled n abit out of shape :(
5,Came as advertised and all in good condition.. Wil recommend
5,"Fast delivery, items sold at low price. Worth it"
3,Same comment as one of the buyer. Order took ages. 
5,Perfect And Good Quality..Fast Shipping..
4,"Fast delivery, item good quality. However, the customer service not good. Doesnt respond at all. "
4,Packing nice but ending notes not clear 
1,"Yet to test if it is working, so giving a neutral rating 1st. Will upgrade or downgrade the rating again after testing out.
Totally rubbish! Tested and it was not working. Informed seller and seller says can do an exchange, but when I probed further on how to go about doing the exchange, seller ...."
4,item arrived after 2 weeks. that's expected. condition of item is well wrapped up and I have used it a few times for cooking. length is long and good for distancing oneself from splatters of cooking. overall fairly satisfied. 
5,Item received in good condition. Delivery was fast. Will definitely buy again.
5,Item received in good condition. Like!
2,"Cover is slightly thicker than expected. When put on watch, it doesn’t look very nice. The silicone is not very soft."
5,"I think it’s one of the cheapest whipping cream I found, excited to use it for my bakes. "
5,Fast delivery! Thank u seller for fulfilling my request!👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
4,"Cheap plastic but then, it's affordable and works."
4,"Tried the device on my nose. Seems to be able to extract some white head. Dun work on stubborn zit. The suction is indeed quite strong, cause abit of redness but will disappear after awhile. "
4,"New stock, long expiry. Not tried dont know how effective hope it works. Tks. "
1,not able to work the light . really disappointed
1,"Mine had OIL stains & seller said 'try wash it out' - I cant because its heavy oil from the machines. Also said its ""just on the inside"" (it was not & does that matter??! It shouldnt have oil anywhere!) Dont buy from this store, there r other stores selling the exact same top at the same price. "
4,Delivery was fast. Received within 4 days. Products were good however the parcel was not sealed (one side of it); means you can just pull out the items from the parcel. Understand that seller may hv difficulty finding the right parcel size but pls consider to improve on the packaging. Thank you! 
5,definitely oversized & really loved the deisgn! will buy agn!!
3,Same like in picture. Just nice size but sole not comfortable. And there’s strong smell
4,"One of the fabric bands is tighter than the rest. In terms of colour, the pink and yellow are nicer."
1,The meterial is comfortable but a bit thin and not too stretchable . Not recommended to buy unless you wear at home. 
4,"need wait for super long , but item came in perfect 👍🏽👍🏽 worth the wait bossku"
3,Shipment very long. Took 12 days to receive even though shipped from Singapore. Material is not stainless steel of course. But I expected that for the price. 
2,"Order took quite long actually. 2 weeks.

And also messed up the order. Ordered happy mix and cookie, but got real choco and cookie :( and wanted the 2 pc free but got the shake instead. "
4,items received in good order.. yet to try out the quality..
2,Not very good as there is no facial care probe
2,Bag is smaller than expected. 
5,Don’t look like what I get from the picture
1,Disappointed. Quality is poor
4,Delivery time was reasonable. Length is okay. Material is quite lightweight - guess with the price paid it's expected 
5,Thanks host for going around to source for nice products for us 👍🏼
1,"it doesn’t look the the picture, not sure if it’s authentic. Was disappointed that the product is slanted. "
3,The red ones is better than the black ones. Size S for the black one is like xxs. 
3,"Fast delivery, just a few days. However the hooks didnt really fit for the bra, the hooks are a bit far apart. Have to forcibly fit it with bra, not perfect fit. Quality overall okay."
4,Packaging is not discreet enough. Can easily guess what is the item content but price is cheaper.
3,Actually thin and flimsy. Seams not sewn straight. Don't think it will look like pictures even after ironing
1,"I'm so sad this SD card cannot used when i transfer all my photos n videos go to SD card all gone, please don't buy, i really head pain n so sad, now i don't know how to get back my photos n videos "
5,Item received as described. Nicely fit on my charge 3 device 
4,Received in good condition.  Hand size and works well.
1,Nice adapter but difficult to use. Unable to insert USB the green ports smoothly. Keeps getting stuck and had to use force to insert and pull out. Only the ornage port was smooth. Request for return/refund but seller rejected saying is my alignment problem...
5,"Very well packaged, and bag is so pretty!"
2,cover is very lose on the phone and phone comes out easily. delivery took about 10 days 
1,"The cups came unprotected , just in a filmy plastic bag ... one of the cups was already broke off from the handle when it arrived "
2,"As what others have commented, the option of ""no packaging"" comes without the storage box! Refer to set list in the description, definitely items not received as described and anyone will interpret packaging as the cardboard box in the picture. Either seller is dishonest or needs English lessons. "
1,Only 1pc. Scam
1,Item nicely packed but the eye sticker was out of place and came off easily. Had to stick it back with tape. 
4,"Product arrived quick and in good condition, however, realised regrettably that it’s priced more expensive for the same model than another store. "
2,looks quite cheap but expected since it is only one dollar plus
5,Fast delivery and product was delivered in order. Ez setup.
2,Took too long to received since the supplier is in sg n even have to extend the Shopee guaranteed. Disappointed.
5,Too quick 
1,"Recieved the order before the delivery timing. Pretty packaging but the cake desgin is different as advertised (the logetivity wrapper is kinda of awkward) 😅
No Mother's Day tag and knife also. "
1,Arrived after 17 days!!
3,Kinda small for me I’m 166cm and 49kg but it’s does look exactly as described 
4,Quality is ok but I have difficulty in putting on the screws. 
4,Fast delivery. Ordered yesterday  received today!thks! Products look ok. The first bag comes with hole. The rest ok
4,All is good except not Long lasting unless maybe it’s the peelable base that’s causing the lifting issue
5,fast delivery! well packed. colours are so vibrant and size is true to description. will definitely purchase again! very comfortable to wear.
1,Bad experience 
4,One big packet worth for money but the noodles all joint up hopefully taste fresh
5,Very fast delivery! Items were packed nicely with bubble wrap. The tube with Yook Sungjae’s faces is so cute. The smell is also nice and good on the skin. 👍🏼
5,Good and working well👍👍
3,"Item is dirty and alot dust, pay for item + free sweat for cleaning. Need alot of improvement on that.

Box is ok for technical person to setup as the attached guide is not really accurate, minor scratches on the plastic board.

Thank you boss. "
5,Items came well packed. Second buy. Love that they gave slightly more samples this time. Excited to try the heartleaf essence.
3,"Table came within a few days. seller is not very helpful regarding delivery. table was a little faulty, one of the legs are not balanced properly so its shaking. have to put newspaper on the floor."
3,Receive like open set .. no plastic packaging ... feel bad ☹️ 
1,"This is too big.. if i wear all the way up.. the dot part cannot stay at my tummy, it will be up all the way to mygastric there.. 

Sad product.. does not match with what is advertise"
5,"Items 
arrived 
In
Good
Condition 
Have
Yet
To 
Try
👍🏻"
2,Its hard to stick on my lash :(
1,"Seller sells good but delivery is worst than ever. 1 star for delivery but 5 star for seller. Because use delivery JTexpress instead of NinjaVan, item got stucked and delayed. So will not trust JTExpress ever"
5,"Material is thick and stretchy. But I bought XL and was too big.
Usually china size is small but this time it meant what it said.
My size usually L but for this pant, I need to buy M, if not it will drop off"
2,got the item in damaged condition but the toy is good
4,Received the good in good condition. Just wondering how to expand the gap of the earring as the gap is too small to hang on my ear... 😂
4,"Pants came smaller than expected but luckily it fits ok, material is quite thin, would suitable for home wear"
5,2nd purchase . Product freshness 5 stars delivery 5 stars customer service 5 stars. Will confirm reorder again
1,"Expected more colourful plush , disappointed came only with 2 tone brown or purple."
3,Packed in a styrofoam box so that’s good but one of the screen came with a few scratches.
2,"Was being advised in description to order one size bigger. Which was 39, item came, tried it and I have a big space left. Now I’ve got no idea what to do with this oversize shoe. But shoe material is good "
3,Didn't expect that delivery will arrive fast. Received the package 6 days from the time of purchase to be exact. This key rings pack is missing 1 piece.  Thank you!
5,Product received in perfect condition. Very happy with this purchase!
4,Quality is good. Just a bit tight. I took L wish there was XL. Still love it!
3,Items as described. Cap a little stiff. 
4,"Received this two Luxury Soft Silicone Case yesterday evening. The Yellow is perfectly alright on both sides but for the Cactus, the back of case have a rather rough texture of little bits to it compared to the Yellow one. Other than that, everything is okay. Thank you seller."
1,"Size M the mentioned totally different, list mentioned bust 92cm, but came in the size only 68cm.. Too much difference, even my girl(secondary 2) also can't wear it.. Better retake all the size and put properly if want continue to get buyer. "
5,Hope its good yet to try. Fast delivery
